ALIGNED_UNALIGNED_CHUNK_RATIO,ANT_REL,Adj-AbsDiffNorm,Adj-Ratio-MinMax,Adv-AbsDiffNorm,Adv-Ratio-MinMax,AlignedWordCnt_Normalized_0.600Th,AllTokens-AbsDiffNorm,AllTokens-Ratio-MinMax,DEP-NSUBJ-DOBJ-ROOT-MATCHED,DEP-NSUBJ-DOBJ-ROOT-UNMATCHED,DEP-NSUBJ-DOBJ-UNMATCHED,EQUI,GMM-weighted-score,HEAD_UNALIGN,INTERPRETABLE_CH_CW_SCORE_NORMALIZED_NO_PENALTY,LO-UNI-SYN-AVG-DEPINFO,LO-UNI-SYN-HYP-AVG-CLEAN,LO-UNI-SYN-HYP-AVG-CR-UALN-PEN-CLEAN,NMOD_UNALIGN,NOALI,Nouns-AbsDiffNorm,Nouns-Ratio-MinMax,OA-ADJ-MKAntSyn-AVG-TH0.500,OA-ADV-MKAntSyn-AVG-TH0.500,OA-NOUN-MKAntSyn-AVG-TH0.500,OA-NOUNVERB_Mult-MKAntSyn-AVG-TH0.500,OA-VERB-MKAntSyn-AVG-TH0.500,OAC2C_AWSP_FALSE-MIKOLOV-ANT_SYN-AVG-TH-0.450-0.600,OA_AWSP_FALSE-MIKOLOV_ANTSYN-AVG-TH0.450,OBJ_UNALIGN,OWA_UAP_AVGNORM_0.600_ppdbTh-0.400_UADFactor-0.400_SSIMWeight-0.000,Other-AbsDiffNorm,Other-Ratio-MinMax,PENALTY_SCORE,PPDBScore0.600_ppdbTh-0.400,RV-MIK-Pen-1.001.000.200.401.00,RV-MIKOLOV-Penalized-AVERAGE,RV_LOGISTIC_REGRESSION_SCORE_2,SENT2VEC_CDSSM_LR_SCORE,SENT2VEC_CDSSM_SCORE,SENT2VEC_DSSM_LR_SCORE,SENT2VEC_DSSM_SCORE,SKIP_THOUGHTS_LOGISTIC_REGRESSION_SCORE,UNALN_NOUN_CNT,UNALN_VERB_CNT,VectorCosineMethod-Wt0.950-simTh0.450,Verbs-AbsDiffNorm,Verbs-Ratio-MinMax,W_MTX_MIKOLOV_ANTSYN-TH0.500,Gold
0.500,0.000,0.000,1.000,0.000,0.000,0.667,0.143,0.750,0.000,0.000,0.000,0.333,0.864,1.000,0.333,0.571,0.571,0.474,0.333,0.667,0.250,0.600,1.000,0.000,0.750,0.000,0.000,0.444,0.571,0.000,0.474,0.000,1.000,0.833,0.571,0.703,0.758,0.564,0.568,0.630,0.563,0.610,0.526,2.000,2.000,0.569,0.000,1.000,0.577,3.200
3.000,0.000,0.000,1.000,0.000,0.000,0.400,0.091,0.833,0.000,0.000,0.000,0.250,0.409,0.500,0.450,0.364,0.364,0.271,1.000,0.250,0.000,1.000,0.000,0.000,0.581,0.000,0.000,0.331,0.604,0.000,0.271,0.000,0.000,0.750,0.364,0.683,0.683,0.606,0.589,0.727,0.641,0.755,0.554,1.000,0.000,0.682,1.000,0.000,0.607,2.800
0.500,0.000,0.000,1.000,0.000,0.000,0.333,0.000,1.000,0.000,0.000,0.000,0.167,0.157,1.000,0.233,0.333,0.333,0.244,1.000,0.667,0.000,1.000,0.500,0.000,0.333,0.000,0.000,0.250,0.333,0.500,0.244,0.000,0.000,0.625,0.333,0.568,0.658,0.444,0.507,0.359,0.395,0.427,0.629,2.000,2.000,0.468,0.000,1.000,0.333,2.400
2.000,0.000,0.000,0.000,1.000,0.000,0.200,0.000,1.000,0.000,0.000,0.000,0.000,0.168,0.500,0.333,0.300,0.200,0.136,1.000,0.333,0.333,0.500,0.000,0.000,0.333,0.000,0.000,0.000,0.200,0.000,0.136,0.000,0.000,1.250,0.200,0.371,0.366,0.295,0.487,0.089,0.282,0.141,0.475,0.000,2.000,0.190,0.333,0.500,0.200,1.200
0.333,0.000,0.000,0.000,0.000,0.000,0.667,0.077,0.857,0.000,0.000,0.000,0.250,0.826,1.000,0.250,0.615,0.615,0.521,0.000,0.750,0.167,0.714,0.000,0.000,0.667,0.000,0.000,0.400,0.615,0.000,0.521,0.000,0.000,0.750,0.615,0.787,0.787,0.586,0.569,0.549,0.544,0.591,0.598,6.000,1.000,0.618,1.000,0.000,0.617,2.200
0.667,0.000,0.000,1.000,0.000,0.000,0.714,0.000,1.000,0.000,0.000,0.000,0.200,0.927,0.500,0.320,0.714,0.714,0.633,0.000,0.600,0.000,1.000,1.000,0.000,0.800,0.000,0.000,0.514,0.714,0.500,0.633,0.000,0.000,0.250,0.714,0.852,0.885,0.748,0.579,0.616,0.533,0.635,0.650,1.000,2.000,0.708,0.000,1.000,0.714,3.600
0.000,0.000,1.000,0.000,0.000,0.000,0.714,0.000,1.000,0.000,0.000,0.000,1.000,0.901,0.000,1.000,0.714,0.714,0.633,0.500,0.000,0.143,0.750,0.000,0.000,0.857,0.857,1.000,0.732,0.827,0.000,0.633,0.000,1.000,0.375,0.714,0.838,0.856,0.719,0.640,0.878,0.611,0.740,0.721,0.000,0.000,0.743,0.000,1.000,0.827,3.600
3.000,0.000,0.000,0.000,1.000,0.000,1.000,0.143,0.750,0.000,0.000,0.000,0.750,0.982,0.000,0.750,0.857,0.857,0.808,0.333,0.250,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.857,0.857,0.000,0.808,0.000,0.000,0.333,0.857,0.982,0.912,0.649,0.618,0.688,0.556,0.724,0.713,0.000,0.000,0.856,0.000,1.000,0.866,4.000
1.500,0.000,0.000,0.000,0.000,0.000,0.500,0.200,0.667,0.000,0.000,0.000,0.200,0.452,0.000,0.440,0.400,0.400,0.304,0.500,0.400,0.273,0.571,0.000,0.000,0.364,0.364,1.000,0.250,0.400,0.500,0.304,0.000,1.000,0.429,0.400,0.683,0.683,0.421,0.502,0.458,0.419,0.509,0.543,4.000,0.000,0.526,0.000,1.000,0.355,3.200
0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.077,0.857,0.000,0.000,0.000,0.800,0.939,0.000,0.920,0.923,0.923,0.895,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.960,0.923,0.000,0.895,0.000,0.000,0.000,0.923,0.980,0.948,0.683,0.678,0.895,0.776,0.858,0.715,0.000,0.000,0.971,0.000,1.000,0.991,4.000
0.500,0.000,0.333,0.500,0.000,0.000,0.667,0.455,0.375,0.000,0.000,0.000,0.000,0.374,0.500,0.200,0.364,0.364,0.271,0.000,0.667,0.333,0.500,0.000,0.000,0.667,0.000,0.000,0.387,0.502,0.500,0.271,0.000,0.000,0.500,0.364,0.743,0.714,0.364,0.528,0.473,0.392,0.454,0.573,1.000,2.000,0.597,1.000,0.000,0.564,3.200
0.200,0.000,0.000,1.000,0.000,0.000,0.250,0.200,0.667,0.000,0.000,0.000,0.167,0.109,1.000,0.167,0.300,0.200,0.136,1.000,0.833,0.200,0.667,0.000,0.000,0.400,0.000,0.000,0.286,0.200,0.500,0.136,1.000,0.000,0.625,0.200,0.435,0.426,0.282,0.476,0.313,0.281,0.264,0.375,3.000,2.000,0.194,0.000,1.000,0.204,1.400
3.000,0.000,0.200,0.667,1.000,0.000,0.500,0.077,0.857,0.000,0.000,0.000,0.000,0.667,0.000,0.450,0.462,0.462,0.362,0.500,0.250,0.333,0.500,0.400,0.000,0.667,0.000,0.000,0.222,0.462,0.000,0.362,1.000,0.000,0.500,0.462,0.776,0.719,0.523,0.497,0.485,0.395,0.501,0.526,1.000,0.000,0.457,0.000,0.000,0.552,1.400
0.000,0.000,0.333,0.500,0.000,0.000,0.857,0.067,0.875,0.000,0.000,0.000,0.500,0.895,0.000,0.800,0.800,0.800,0.736,1.000,0.000,0.111,0.800,0.667,0.000,0.889,0.889,1.000,0.576,0.800,0.000,0.736,1.000,0.000,0.500,0.800,0.902,0.889,0.830,0.645,0.825,0.808,0.821,0.760,0.000,0.000,0.794,0.000,1.000,0.802,4.600
2.000,0.000,0.000,1.000,0.000,0.000,0.500,0.077,0.857,0.000,0.000,0.000,0.000,0.529,1.000,0.333,0.462,0.569,0.447,0.000,0.333,0.143,0.750,1.000,0.000,0.286,0.000,0.000,0.663,0.462,0.000,0.362,1.000,0.000,0.500,0.462,0.464,0.641,0.445,0.509,0.584,0.462,0.531,0.486,0.000,1.000,0.469,1.000,0.000,0.463,2.000
0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.979,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.250,0.600,0.000,0.000,0.750,0.000,0.000,0.815,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.623,0.623,0.587,0.609,0.776,0.751,0.811,0.651,0.000,0.000,0.993,1.000,0.000,0.495,5.000
0.667,0.000,0.000,1.000,0.000,0.000,0.500,0.143,0.750,0.000,0.000,0.000,0.200,0.656,1.000,0.320,0.429,0.429,0.331,0.200,0.600,0.250,0.600,0.650,0.000,0.750,0.000,0.000,0.444,0.521,0.000,0.331,0.000,1.000,0.900,0.429,0.663,0.686,0.411,0.527,0.558,0.521,0.605,0.416,2.000,2.000,0.592,0.000,1.000,0.527,2.800
0.250,0.000,1.000,0.000,0.000,0.000,0.200,0.167,0.714,0.000,0.000,0.000,0.000,0.050,1.000,0.120,0.300,0.167,0.111,1.000,0.800,0.111,0.800,0.000,0.000,0.222,0.000,0.000,0.000,0.167,0.500,0.111,1.000,0.000,0.875,0.167,0.305,0.289,0.241,0.477,0.209,0.294,0.228,0.446,5.000,1.000,0.161,1.000,0.000,0.169,1.400
0.200,0.000,0.000,1.000,0.000,0.000,0.200,0.000,1.000,0.000,0.000,0.000,0.000,0.030,0.500,0.100,0.300,0.200,0.136,1.000,0.833,0.000,1.000,0.000,0.000,0.333,0.000,0.000,0.000,0.200,0.000,0.136,0.000,0.000,0.750,0.200,0.496,0.514,0.234,0.388,0.352,0.294,0.275,0.405,4.000,2.000,0.289,0.000,1.000,0.163,1.000
2.000,0.000,1.000,0.000,0.000,0.000,0.500,0.143,0.750,0.000,0.000,0.000,0.000,0.383,0.500,0.333,0.429,0.429,0.331,0.500,0.333,0.111,0.800,0.000,0.000,0.222,0.000,0.000,0.320,0.359,0.000,0.331,0.333,0.500,0.667,0.429,0.670,0.667,0.352,0.489,0.292,0.335,0.471,0.503,0.000,1.000,0.492,1.000,0.000,0.363,1.000
0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.500,0.997,0.000,0.800,1.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.833,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.963,0.963,0.813,0.679,0.914,0.786,0.947,0.804,0.000,0.000,0.997,0.000,1.000,0.943,5.000
0.400,0.000,0.000,0.000,0.000,0.000,0.625,0.000,1.000,0.000,0.000,0.000,0.143,0.879,1.000,0.229,0.625,0.625,0.531,0.500,0.714,0.000,1.000,0.000,0.000,0.833,0.000,0.000,0.267,0.625,0.500,0.531,0.000,0.000,0.400,0.625,0.804,0.804,0.450,0.500,0.480,0.488,0.596,0.593,1.000,4.000,0.671,0.000,1.000,0.647,1.800
1.000,0.000,0.000,1.000,0.000,0.000,0.500,0.077,0.857,0.000,0.000,0.000,0.250,0.105,0.000,0.350,0.462,0.569,0.447,1.000,0.500,0.200,0.667,0.000,0.000,0.000,0.000,1.000,0.333,0.462,0.500,0.362,0.000,1.000,0.625,0.462,0.733,0.707,0.442,0.514,0.490,0.448,0.498,0.590,2.000,0.000,0.458,0.000,1.000,0.463,0.200
0.500,0.000,0.333,0.500,0.000,0.000,0.500,0.143,0.750,0.000,0.000,0.000,0.000,0.627,1.000,0.200,0.429,0.429,0.331,0.500,0.667,0.143,0.750,0.000,0.000,0.571,0.000,0.000,0.333,0.429,0.500,0.331,0.333,0.500,0.583,0.429,0.732,0.670,0.393,0.483,0.394,0.353,0.314,0.437,3.000,1.000,0.495,1.000,0.000,0.389,2.000
0.200,0.000,1.000,0.000,0.000,0.000,0.167,0.077,0.857,0.000,0.000,0.000,0.000,0.015,1.000,0.100,0.300,0.154,0.102,1.000,0.833,0.200,0.667,0.000,0.000,0.200,0.000,0.000,0.000,0.154,0.500,0.102,0.000,0.000,0.833,0.154,0.478,0.522,0.332,0.396,0.193,0.239,0.081,0.424,5.000,2.000,0.309,1.000,0.000,0.240,1.600
0.667,0.000,1.000,0.000,0.000,0.000,0.375,0.000,1.000,0.000,0.000,0.000,0.200,0.615,1.000,0.320,0.375,0.375,0.281,0.333,0.600,0.091,0.833,0.000,0.000,0.546,0.000,0.000,0.222,0.465,0.000,0.281,0.000,1.000,0.667,0.375,0.606,0.610,0.333,0.482,0.505,0.385,0.465,0.572,3.000,1.000,0.656,1.000,0.000,0.465,1.000
0.000,0.000,0.000,1.000,0.000,0.000,0.833,0.000,1.000,0.000,0.000,0.000,1.000,0.997,0.000,1.000,0.600,0.833,0.778,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,1.000,0.750,0.833,1.000,0.778,0.000,1.000,0.333,0.833,0.926,0.939,0.787,0.667,0.834,0.749,0.890,0.708,0.000,0.000,0.965,0.000,1.000,0.833,3.000
0.600,0.000,0.000,1.000,0.000,0.000,0.714,0.067,0.875,0.000,0.000,0.000,0.375,0.888,1.000,0.375,0.667,0.667,0.578,1.000,0.625,0.111,0.800,1.000,0.000,0.667,0.333,0.500,0.546,0.667,0.000,0.578,0.000,0.000,0.357,0.667,0.743,0.791,0.658,0.534,0.494,0.536,0.586,0.690,4.000,2.000,0.793,0.000,1.000,0.668,2.400
0.250,0.000,1.000,0.000,0.000,0.000,0.333,0.000,1.000,0.000,0.000,0.000,0.000,0.369,1.000,0.120,0.333,0.333,0.244,0.000,0.800,0.111,0.800,0.000,0.000,0.444,0.000,0.000,0.253,0.442,0.500,0.244,1.000,0.000,0.667,0.333,0.552,0.595,0.455,0.466,0.281,0.418,0.384,0.456,4.000,1.000,0.505,1.000,0.000,0.391,2.200
3.000,0.000,0.000,1.000,0.000,0.000,0.667,0.143,0.750,0.000,0.000,0.000,0.250,0.812,0.000,0.550,0.571,0.571,0.474,0.333,0.250,0.143,0.750,1.000,0.000,0.571,0.571,1.000,0.821,0.678,0.500,0.474,0.333,0.500,0.467,0.571,0.785,0.811,0.556,0.560,0.597,0.412,0.474,0.643,1.000,0.000,0.731,0.000,1.000,0.622,3.000
1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.200,0.667,0.000,0.000,0.000,0.000,0.464,1.000,0.350,0.400,0.400,0.304,0.000,0.500,0.143,0.750,0.000,0.000,0.286,0.191,0.667,0.444,0.400,0.500,0.304,0.000,0.000,0.667,0.400,0.576,0.576,0.438,0.447,0.226,0.409,0.428,0.497,4.000,0.000,0.497,0.333,0.500,0.408,3.000
0.667,0.000,1.000,0.000,0.000,0.000,0.429,0.067,0.875,0.000,0.000,0.000,0.000,0.595,0.500,0.240,0.400,0.400,0.304,0.000,0.600,0.250,0.600,0.000,0.000,0.500,0.000,0.000,0.000,0.502,0.500,0.304,0.000,0.000,0.375,0.400,0.691,0.705,0.458,0.545,0.600,0.524,0.624,0.562,2.000,1.000,0.532,0.500,0.333,0.503,2.400
0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.000,1.000,0.000,0.000,0.000,0.500,0.960,0.000,0.800,0.833,0.833,0.778,0.000,0.000,0.000,1.000,0.000,0.000,0.750,0.750,1.000,1.000,0.833,0.000,0.778,0.000,1.000,0.000,0.833,0.915,0.915,0.828,0.644,0.784,0.681,0.765,0.765,0.000,0.000,0.839,0.000,1.000,0.667,5.000
0.167,0.000,1.000,0.000,0.000,0.000,0.375,0.059,0.889,0.000,0.000,0.000,0.000,0.216,1.000,0.086,0.235,0.235,0.163,0.000,0.857,0.143,0.750,0.000,0.000,0.286,0.000,0.000,0.000,0.235,0.500,0.229,0.000,0.000,0.833,0.309,0.578,0.593,0.260,0.446,0.331,0.272,0.243,0.502,7.000,2.000,0.324,0.000,1.000,0.236,0.000
2.000,0.000,0.000,0.000,0.000,0.000,0.750,0.059,0.889,0.000,0.000,0.000,0.333,0.841,0.500,0.533,0.706,0.706,0.623,0.250,0.333,0.091,0.833,0.000,0.000,0.546,0.364,0.667,0.693,0.706,0.000,0.623,0.333,0.500,0.350,0.706,0.540,0.540,0.616,0.524,0.596,0.566,0.628,0.553,2.000,1.000,0.788,0.333,0.500,0.445,4.800
0.200,0.000,0.000,0.000,1.000,0.000,0.400,0.091,0.833,0.000,1.000,0.000,0.000,0.383,1.000,0.100,0.050,0.182,0.122,0.000,0.833,0.000,1.000,0.000,0.000,0.421,0.000,0.000,0.191,0.306,1.000,0.243,0.000,0.000,0.750,0.326,0.539,0.516,0.301,0.467,0.395,0.400,0.364,0.427,5.000,2.000,0.343,0.000,1.000,0.307,2.400
0.167,0.000,1.000,0.000,0.000,0.000,0.200,0.091,0.833,0.000,0.000,0.000,0.000,0.030,1.000,0.086,0.300,0.182,0.122,0.000,0.857,0.000,1.000,0.000,0.000,0.250,0.000,0.000,0.167,0.182,0.500,0.122,0.000,0.000,0.500,0.182,0.506,0.498,0.318,0.466,0.125,0.273,0.231,0.465,5.000,2.000,0.344,0.000,1.000,0.183,1.000
0.200,0.000,0.333,0.500,1.000,0.000,0.400,0.231,0.625,0.000,0.000,0.000,0.167,0.528,1.000,0.167,0.308,0.308,0.223,0.000,0.833,0.143,0.750,0.000,0.000,0.571,0.000,0.000,0.000,0.308,0.500,0.223,0.000,0.000,0.600,0.308,0.648,0.624,0.280,0.475,0.288,0.346,0.410,0.541,3.000,1.000,0.317,1.000,0.000,0.279,0.400
0.667,0.000,1.000,0.000,0.000,0.000,0.375,0.000,1.000,0.000,0.000,0.000,0.200,0.222,1.000,0.320,0.375,0.375,0.281,0.000,0.600,0.600,0.250,0.000,0.000,0.400,0.000,0.000,0.222,0.438,0.500,0.281,1.000,0.000,0.625,0.375,0.646,0.656,0.423,0.513,0.483,0.366,0.354,0.591,4.000,2.000,0.435,1.000,0.000,0.313,2.600
0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.077,0.857,1.000,0.000,0.000,0.667,0.948,0.000,0.867,0.800,0.923,0.895,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.964,0.923,0.000,0.895,0.000,1.000,0.000,0.923,0.998,0.965,0.726,0.627,0.842,0.690,0.872,0.760,0.000,0.000,0.922,0.000,1.000,0.926,3.800
0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,1.000,0.000,0.000,0.000,0.667,0.588,0.000,0.800,0.500,0.500,0.400,1.000,0.000,0.000,1.000,0.000,0.000,0.957,0.000,0.000,1.000,0.885,0.000,0.400,0.000,1.000,0.375,0.500,0.907,0.907,0.710,0.634,0.776,0.522,0.693,0.768,0.000,0.000,0.867,0.000,0.000,0.843,2.000
0.400,0.000,1.000,0.000,0.000,0.000,0.333,0.077,0.857,0.000,0.000,0.000,0.000,0.193,1.000,0.171,0.308,0.308,0.223,0.750,0.714,0.333,0.500,0.000,0.000,0.000,0.000,0.667,0.148,0.308,0.000,0.223,0.000,1.000,1.375,0.308,0.649,0.678,0.280,0.461,0.322,0.348,0.446,0.480,5.000,1.000,0.460,0.333,0.500,0.402,0.600
1.000,0.000,0.000,0.000,1.000,0.000,0.750,0.111,0.800,0.000,0.000,0.000,0.250,0.851,0.000,0.400,0.400,0.667,0.578,0.000,0.500,0.000,1.000,0.000,0.000,0.667,0.667,1.000,0.333,0.667,0.000,0.578,0.000,0.000,0.667,0.667,0.675,0.641,0.621,0.556,0.585,0.542,0.633,0.579,2.000,0.000,0.658,0.000,1.000,0.423,4.800
3.000,0.000,0.333,0.500,0.000,1.000,0.833,0.143,0.750,0.000,0.000,0.000,0.500,0.977,0.000,0.650,0.714,0.714,0.633,0.000,0.250,0.000,1.000,0.667,1.000,0.808,0.808,1.000,0.821,0.802,0.000,0.633,0.333,0.500,0.500,0.714,0.876,0.888,0.680,0.576,0.661,0.705,0.762,0.594,0.000,0.000,0.845,0.000,1.000,0.887,3.800
0.000,0.000,0.200,0.667,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.250,0.629,0.000,0.700,0.571,0.571,0.474,0.000,0.000,0.200,0.667,0.800,0.000,0.234,0.000,0.000,0.617,0.753,0.000,1.000,0.000,0.000,0.000,1.000,0.551,0.638,0.740,0.624,0.750,0.575,0.697,0.650,0.000,0.000,0.848,0.000,1.000,0.529,5.000
0.500,0.000,0.200,0.667,0.000,0.000,0.429,0.067,0.875,0.000,0.000,0.000,0.000,0.507,1.000,0.167,0.400,0.400,0.304,0.000,0.667,0.143,0.750,0.800,0.000,0.286,0.000,0.000,0.214,0.400,0.500,0.304,0.000,0.000,0.500,0.400,0.419,0.629,0.380,0.523,0.423,0.435,0.530,0.448,2.000,3.000,0.469,0.333,0.500,0.589,1.400
0.667,0.000,1.000,0.000,0.000,0.000,0.500,0.077,0.857,0.000,0.000,0.000,0.200,0.638,1.000,0.320,0.462,0.462,0.362,0.000,0.600,0.000,1.000,0.000,0.000,0.935,0.000,0.000,0.286,0.576,0.000,0.362,1.000,0.000,0.400,0.462,0.730,0.707,0.576,0.530,0.553,0.518,0.521,0.601,1.000,2.000,0.454,0.000,1.000,0.528,4.400
1.000,0.000,0.000,0.000,0.000,0.000,0.600,0.091,0.833,0.000,0.000,0.000,0.250,0.675,1.000,0.400,0.546,0.546,0.446,0.000,0.500,0.333,0.500,0.000,0.000,0.667,0.000,0.000,0.333,0.546,0.500,0.446,0.333,0.500,0.542,0.546,0.435,0.435,0.477,0.620,0.740,0.567,0.662,0.655,0.000,2.000,0.543,0.000,1.000,0.409,3.800
